Vehicle Number,Serial Number,DSN,Last Video Date,Last Online Date,Last Ignition Date,Slot 1,Slot 2,Slot 3,Slot 4,Camera Issue Detected,Health Alert,Health Status
211903,0071009B33,23023520,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
252403,007100846B,23024556,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
252402,0071008F01,23024555,2024-11-17,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
211902,0071008332,23023451,2024-11-12,2024-11-18,2024-11-17,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312213,007100877F,23024619,2024-11-16,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312211,0071008DBD,23024559,2024-11-12,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Not Healthy,The DVR may be offline.
212005,0071009C60,23023533,,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212007,0071008728,23023509,2024-09-25,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
211603,00710080D0,23024617,2024-11-16,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212210,0071008512,23023122,2024-08-28,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312207,0071008497,23024558,2024-11-13,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312209,0071008860,23023448,2024-09-30,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312214,0071008E91,23023437,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312220,0071008801,23023435,2024-11-07,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
492101,0071008887,12023501,2024-11-08,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212101,0071008876,23023447,2024-09-25,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212009,00710090CA,23023126,2024-10-24,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212205,0071008A30,23023523,2024-11-18,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312218,0071008AC7,23024616,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212003,00710086C1,23023124,2024-11-18,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212204,0071008499,23023522,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312217,0071008320,23023438,2024-09-17,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212203,00710083C9,23023511,2024-11-13,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212207,0071009647,23023449,2024-10-10,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312208,0071008377,23023479,2024-10-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212209,0071008B5F,23023508,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212303,00710082B0,23023530,2024-11-13,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312210,007100842A,23024531,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212201,0071009D62,23023521,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312205,0071008717,23023480,2024-11-18,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312212,0071008ED1,23023478,2024-11-07,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212001,00710086CF,23024508,2024-11-06,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312219,0071008EA2,23023444,,2024-11-18,2024-11-18,Healthy,No SD Card,No SD Card,No SD Card,,Healthy,
212002,0071008AB9,23023507,2024-11-13,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212202,0071009C36,23023127,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312215,007100895F,23024532,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212102,007100A5CE,23023519,2024-10-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212008,00710083E5,23023535,2024-10-25,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312201,0071009189,23023446,2024-11-11,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312202,007100852C,23023481,2024-11-06,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212301,0071009983,23023450,2024-09-19,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212206,0071009947,23023518,2024-11-13,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212302,00710096A1,23023510,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212006,00710082A7,23023532,2024-11-15,2024-11-18,2024-11-15,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312204,00710087AF,23023476,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212004,0071008A28,23023534,2024-10-21,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
211901,0071008A2A,23023506,2024-05-22,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312206,0071008109,23023531,2024-11-15,2024-11-18,2024-11-18,No SD Card,No SD Card,No SD Card,No SD Card,,Healthy,
312216,0071008ABB,23023439,2024-11-11,2024-11-17,2024-11-17,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312203,0071008A20,23023436,2024-11-14,2024-11-17,2024-11-17,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
252401,007100830C,23024557,2024-11-06,2024-11-15,2024-11-15,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212208,0071008E4C,23023123,2024-10-30,2024-11-15,2024-11-15,Healthy,Healthy,No SD Card,No SD Card,,Healthy,