Truck ID,VIN,DVR Serial Number,Gateway (OBC) Serial Number,Bus speed,FW Updated,Config Updated,FTVision,Kibana,CAN data,VI 2.0 Location,VI 2.0 Watch Live,VI 2.0 Events,vDevices config,Registered in VI 1.0,Registered in VI 2.0,Observation,ADAS,POD PASSENGER,DRIVER FACING / BACK UP,POD DRIVER,Print,Observation
211603,,00710080D0,23024617,undefined,Yes,No,Yes,Yes,No,,,,,Yes,No,Old truck with J1708 protocol,No,No,No,No,,
312206,3AKJHHDR7NSNM0081,0071008109,23023531,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212006,3AKJHLDR4LSLN3087,00710082A7,23023532,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212303,3AKJHLDR7PDUH3262,00710082B0,23023530,undefined,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
252401,1M1AN2GY1RM041904,007100830C,23024557,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312217,3AKJHHDR0NSNN8678,0071008320,23023438,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
211902,3AKJHLDR8KSKL5462,0071008332,23023451,undefined,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312208,3AKJHHDR0NSNM0083,0071008377,23023479,undefined,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212203,3AKJHLDV4NDNC8647,00710083C9,23023511,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212008,3AKJHLDR0LSLN3085,00710083E5,23023535,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,No,Not registered in VI2.0,,,,,,
312210,3AKJHHDR4NSNM0085,007100842A,23024531,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
252403,1M1AN2GY1RM042793,007100846B,23024556,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312207,3AKJHHDR9NSNM0082,0071008497,23024558,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212204,3AKJHLDV6NDNC8648,0071008499,23023522,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212210,3AKJHLDV1NDNC8654,0071008512,23023122,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312202,3AKJHHDR5NSNM0077,007100852C,23023481,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212003,1FUJHLDR9LLKX6521,00710086C1,23023124,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212001,1FUJHLDR0LLKX6519,00710086CF,23024508,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312205,3AKJHHDR5NSNM0080,0071008717,23023480,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212007,3AKJHLDR8LSLN3089,0071008728,23023509,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312213,3AKJHHDR3NSNN8674,007100877F,23024619,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312204,3AKJHHDR9NSNM0079,00710087AF,23023476,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312220,3AKJHHDR0NSNN8681,0071008801,23023435,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312209,3AKJHHDR2NSNM0084,0071008860,23023448,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212101,1FUJHTFM5MLMZ6791,0071008876,23023447,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
492101,516H6GFD0MH233947,0071008887,12023501,undefined,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312215,3AKJHHDR7NSNN8676,007100895F,23024532,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312203,3AKJHHDR7NSNM0078,0071008A20,23023436,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212004,1FUJHLDR0LLKX6522,0071008A28,23023534,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
211901,3AKJHLDR1KSKL5464,0071008A2A,23023506,undefined,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,Ignition is always on,Yes,Yes,Yes,Yes,,
212205,3AKJHLDV8NDNC8649,0071008A30,23023523,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Observation,Yes,,Channel 3 -Bad Position ; 
212002,1FUJHLDR7LLKX6520,0071008AB9,23023507,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312216,3AKJHHDR9NSNN8677,0071008ABB,23023439,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312218,3AKJHHDR2NSNN8679,0071008AC7,23024616,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212209,3AKJHLDVXNDNC8653,0071008B5F,23023508,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,No,Not registered in VI2.0,,,,,,
312211,3AKJHHDRXNSNN8672,0071008DBD,23024559,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212208,3AKJHLDV8NDNC8652,0071008E4C,23023123,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,Yes,Registered in Vi2.0,,,,,,
312214,3AKJHHDR5NSNN8675,0071008E91,23023437,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,No,Not registered in VI2.0,,,,,,
312219,3AKJHHDR9NSNN8680,0071008EA2,23023444,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Observation,Observation,Observation,Observation,,Channel 1 - Is not working ; Channel 3 - Pod Passanger ; Channel 2 - Driver Facing ; Channel 4 - Pod Passenger
312212,3AKJHHDR1NSNN8673,0071008ED1,23023478,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
252402,1M1AN2GY1RM041918,0071008F01,23024555,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212009,3AKJHLDR4LSLN3090,00710090CA,23023126,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312201,3AKJHHDR3NSNM0076,0071009189,23023446,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212207,3AKJHLDV6NDNC8651,0071009647,23023449,500k,Yes,Yes,Yes,Yes,Yes,No,No,,,Yes,No,Not registered in VI2.0,,,,,,
212302,3AKJHLDR5PDUH3261,00710096A1,23023510,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212206,3AKJHLDV4NDNC8650,0071009947,23023518,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Observation,Yes,,Channel 3 - Bad position and Blurry image; 
212301,3AKJHLDR3PDUH3260,0071009983,23023450,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
211903,3AKJHLDRXKSKL5463,0071009B33,23023520,undefined,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Ignition is always on,Yes,Yes,Yes,Yes,,
212202,3AKJHLDV2NDNC8646,0071009C36,23023127,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212005,1FUJHLDR2LLKX6523,0071009C60,23023533,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212201,3AKJHLDV0NDNC8645,0071009D62,23023521,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212102,1FUJHTFM3MLMZ6787,007100A5CE,23023519,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
492201,11VJ813A5NA000820,N/A,12031053,undefined,No,No,,,,,,,,No,No,,,,,,,
491902,11VJ813A9KA000976,N/A,12000698,undefined,No,No,,,,,,,,No,No,,,,,,,
309,1XPVDP9X5ED224642,N/A,6512837,undefined,No,No,,,,,,,,No,No,,,,,,,
231702,3HSDJAPR1HN641306,N/A,N/A,undefined,No,No,,,,,,,,No,No,,,,,,,
231703,3HSDJAPR3HN641307,N/A,N/A,undefined,No,No,,,,,,,,No,No,,,,,,,
231701,3HSDJAPR5HN641308,N/A,N/A,undefined,No,No,,,,,,,,No,No,,,,,,,
591901,,N/A,23024554,undefined,No,No,,,,,,,,No,No,,,,,,,
591601,,N/A,23023445,undefined,No,No,,,,,,,,No,No,,,,,,,